label,kind,status,occurrences,first_source_url
Hand Crews,dt,mapped,287,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Helicopters,dt,mapped,278,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/bb2cc5cd-3a3b-426f-a9ae-97805899f19d
Stoner Recreation Center,inline-strong,UNMAPPED,278,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/632ea637-4d58-4b71-9050-740acceab450
Dozers,dt,mapped,272,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/8607a763-c3f3-4157-9f25-4d4053ce9581
The Following Zones are under mandatory evacuation order,inline-strong,mapped,260,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/26ae17c3-7807-448e-89c7-7cd54429637b
The Following Zones are under mandatory evacuation order,inline-colon,mapped,260,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/26ae17c3-7807-448e-89c7-7cd54429637b
Evacuation Warnings,heading-h4,mapped,257,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/16d4ebf2-87ed-434e-b853-5e94f23459ec
Other,dt,mapped,248,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Pomona Fairplex (Gate 3),inline-strong,UNMAPPED,246,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/632ea637-4d58-4b71-9050-740acceab450
Family Assistance Center,heading-h3,mapped,241,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Incident Demographics,heading-h3,mapped,213,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Van Nuys/Sherman Oaks Recreation Center,inline-strong,UNMAPPED,211,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/632ea637-4d58-4b71-9050-740acceab450
Ritchie Valens Recreation Center,inline-strong,UNMAPPED,204,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/108f1f21-1810-48cd-84f4-09f28d22fdaa
Please be advised,inline-colon,UNMAPPED,198,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fd5da177-2bbc-489d-b9eb-f3e7cd493b58
The Following Zones are under Evacuation Warning,inline-strong,UNMAPPED,194,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/16d4ebf2-87ed-434e-b853-5e94f23459ec
The Following Zones are under Evacuation Warning,inline-colon,UNMAPPED,194,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/16d4ebf2-87ed-434e-b853-5e94f23459ec
Visit the CAL FIRE IMT2,inline-colon,UNMAPPED,169,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/c2f1e8db-30bf-4d18-bad2-cc36d50a1484
Cooperating Agencies,heading-h3,mapped,164,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Please be advised,inline-strong,UNMAPPED,155,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fd5da177-2bbc-489d-b9eb-f3e7cd493b58
Missing Pets Line,inline-strong,mapped,154,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Missing Pets Line,inline-colon,mapped,154,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Missing Persons Hotline,inline-strong,mapped,143,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Missing Persons Hotline,inline-colon,mapped,143,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Eastside Location,inline-strong,mapped,140,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/c2f1e8db-30bf-4d18-bad2-cc36d50a1484
Westside Location,inline-strong,mapped,140,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/c2f1e8db-30bf-4d18-bad2-cc36d50a1484
Operational Briefings,inline-strong,UNMAPPED,136,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/c2f1e8db-30bf-4d18-bad2-cc36d50a1484
Damage Assessment,heading-h3,mapped,125,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/55b85cc1-4753-44a8-a9c4-1ebf548d8222
Public Health Information,heading-h3,mapped,121,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/3bf16f84-0ccc-446f-ba6a-1684cc7e925d
News Releases/Media Advisories,heading-h3,mapped,118,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/25abbe52-f080-442a-8001-e83b5fd435f0
Disaster Resource Center,inline-colon,mapped,110,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/c2f1e8db-30bf-4d18-bad2-cc36d50a1484
Disaster Resource Center ,inline-strong,UNMAPPED,110,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/c2f1e8db-30bf-4d18-bad2-cc36d50a1484
Calvary Community Church,inline-strong,UNMAPPED,109,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/be828b8f-9bdf-41c1-af7b-800a71f2e33a
Initial Protective Actions,heading-h3,mapped,100,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Palisades Fire Information Linktree,inline-strong,UNMAPPED,97,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Join the Effort,inline-colon,UNMAPPED,90,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/1a9d5252-4aa6-47a7-9f72-894a13b10a46
CHP-West Valley,inline-strong,UNMAPPED,89,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/c1a8570d-45de-4e14-aa62-1e43bede8c43
State Park Closures,heading-h3,mapped,87,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Public Health and Safety Linktree,inline-strong,UNMAPPED,80,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/b1349f1e-5c23-4013-a43e-8374d8fb2048
Pan Pacific Recreation Center,inline-strong,UNMAPPED,79,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/346c9a1f-fe7c-4b8a-a96d-acae730a2e08
RED FLAG WARNING,inline-strong,UNMAPPED,66,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/96c4057b-8ae9-4d9a-b79e-57480eb1714e
Lanark Recreation Center,inline-strong,UNMAPPED,62,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/be828b8f-9bdf-41c1-af7b-800a71f2e33a
Disaster Assessment,heading-h4,mapped,57,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
East,inline-colon,UNMAPPED,57,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/42d66ab9-f0a3-44bc-9f7f-aaa496ef5c54
